Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,State
Nathan Littauer Hospital,Gloversville,142,"2,407","8,507",New York
New York Community Hospital,Brooklyn,134,"7,529","35,541",New York
New York Presbyterian/Columbia University Irving Medical Center,New York,0,0,0,New York
New York Presbyterian/Weill Cornell Medical Center,New York,"2,650","111,301","701,074",New York
Newark-Wayne Community Hospital,Newark,297,"5,139","19,722",New York
NewYork-Presbyterian Queens Hospital,Flushing,492,"31,315","162,184",New York
NewYork-Presbyterian Allen Hospital,New York,0,0,0,New York
NewYork-Presbyterian Brooklyn Methodist Hospital,Brooklyn,591,"32,433","172,308",New York
NewYork-Presbyterian Hudson Valley Hospital,Cortlandt Manor,128,"7,827","34,124",New York
NewYork-Presbyterian Lawrence Hospital,Bronxville,208,"11,173","57,530",New York
"NewYork-Presbyterian, Lower Manhattan Hospital",New York,132,"8,655","45,964",New York
Niagara Falls Memorial Medical Center,Niagara Falls,133,"4,578","21,777",New York
North Shore University Hospital,Manhasset,"1,040","48,079","283,762",New York
Northern Dutchess Hospital,Rhinebeck,84,"5,192","19,440",New York
Northern Westchester Hospital,Mount Kisco,195,"8,581","35,790",New York
NYC Health + Hospitals Bellevue,New York,912,"18,999","124,012",New York
NYC Health + Hospitals Coney Island,Brooklyn,371,"13,092","85,854",New York
NYC Health + Hospitals Elmhurst,Elmhurst,500,"17,680","107,541",New York
NYC Health + Hospitals Harlem,New York,282,"9,651","60,833",New York
NYC Health + Hospitals Jacobi,Bronx,439,"16,900","95,634",New York
NYC Health + Hospitals Kings County,Brooklyn,634,"16,077","101,980",New York
NYC Health + Hospitals Lincoln,Bronx,347,"18,730","83,863",New York
NYC Health + Hospitals Metropolitan,New York,338,"5,600","29,732",New York
NYC Health + Hospitals North Central Bronx,Bronx,200,"5,312","23,651",New York
NYC Health + Hospitals Queens,Jamaica,253,"11,885","59,287",New York
NYC Health + Hospitals Woodhull,Brooklyn,371,"9,091","49,210",New York
NYU Langone Hospital - Brooklyn,Brooklyn,388,"23,168","104,926",New York
NYU Langone Orthopedic Hospital,New York,160,"5,443","23,915",New York
NYU Langone Tisch Hospital,New York,"1,629","65,273","311,369",New York
NYU Winthrop Hospital,Mineola,511,"34,552","174,843",New York
Olean General Hospital,Olean,567,"7,889","36,689",New York
Oneida Healthcare Center,Oneida,261,"2,520","10,000",New York
Orange Regional Medical Center,Middletown,383,"21,181","99,050",New York
Oswego Hospital,Oswego,164,"3,358","13,960",New York
Our Lady of Lourdes Memorial Hospital,Binghamton,161,"9,534","42,091",New York
Peconic Bay Medical Center,Riverhead,184,"8,541","36,611",New York
Phelps Memorial Hospital Center,Sleepy Hollow,220,"6,388","38,481",New York
Plainview Hospital,Plainview,156,"8,179","39,100",New York
Putnam Hospital Center,Carmel,140,"5,611","19,746",New York
Richmond University Medical Center,Staten Island,300,"11,943","63,447",New York
Rochester General Hospital,Rochester,516,"30,137","150,969",New York
Rockefeller University Hospital,New York,0,0,0,New York
Rome Memorial Hospital,Rome,171,"2,879","11,893",New York
Roswell Park Cancer Institute,Buffalo,133,"5,307","40,867",New York
Saint Anthony Community Hospital,Warwick,60,"1,975","7,746",New York
Saint Barnabas Hospital,Bronx,332,"13,301","63,398",New York
Saint Catherine of Siena Medical Center,Smithtown,546,"10,527","50,371",New York
Saint Charles Hospital,Port Jefferson,243,"9,315","50,089",New York
Saint Francis Hospital The Heart Center,Roslyn,364,"18,518","97,198",New York
Saint James Hospital,Hornell,15,848,"2,857",New York
Saint John's Episcopal Hospital,Far Rockaway,209,"6,813","46,059",New York
Saint John's Riverside Hospital - Andrus Pavilion,Yonkers,321,"17,069","94,151",New York
Saint John's Riverside Hospital - Dobbs Ferry Pavilion,Dobbs Ferry,50,"1,837","8,893",New York
Saint Joseph's Hospital,Elmira,176,303,"6,279",New York
Saint Joseph's Hospital Health Center,Syracuse,435,"25,614","116,850",New York
Saint Joseph's Medical Center,Yonkers,271,"4,216","29,340",New York
Saint Mary's Hospital at Amsterdam,Amsterdam,290,"4,513","23,553",New York
Saint Peter's Hospital,Albany,482,"27,097","139,256",New York
Samaritan Hospital - Main Campus,Troy,257,"8,882","46,146",New York
Samaritan Hospital - Saint Mary's Campus,Troy,20,454,"6,212",New York
Samaritan Hospital-Albany Memorial Campus,Albany,73,"1,714","6,488",New York
Samaritan Medical Center,Watertown,286,"7,160","38,154",New York
Saratoga Hospital,Saratoga Springs,171,"10,276","52,025",New York
Sisters of Charity Hospital,Buffalo,466,"15,135","78,523",New York
Sisters of Charity Hospital - Saint Joseph Campus,Buffalo,119,"6,318","36,997",New York
Southside Hospital,Bay Shore,278,"21,093","97,176",New York
St. John's Riverside Hospital ParkCare Pavilion,Yonkers,190,"4,981","37,019",New York
St. Joseph Hospital,Bethpage,203,"6,152","29,720",New York
Staten Island University Hospital,Staten Island,627,"36,635","189,814",New York
Stony Brook Eastern Long Island Hospital,Greenport,90,"2,058","12,179",New York
Stony Brook Southampton Hospital,Southampton,94,"4,318","17,668",New York
Stony Brook University Hospital,Stony Brook,695,"35,811","206,843",New York
Strong Memorial Hospital,Rochester,852,"38,002","266,201",New York
Sunnyview Rehabilitation Hospital,Schenectady,115,450,"3,846",New York
Syosset Hospital,Syosset,74,"1,952","4,688",New York
Syracuse VA Medical Center,Syracuse,0,0,0,New York
The Brookdale University Hospital and Medical Center,Brooklyn,797,"12,154","71,367",New York
The Brooklyn Hospital Center,Brooklyn,282,"14,786","85,684",New York
The Mount Sinai Hospital,New York,"1,161","55,420","361,731",New York
The New York Eye and Ear Infirmary,New York,16,322,842,New York
The University of Vermont Health Network Champlain Valley Physicians Hospital,Plattsburgh,354,"8,983","49,835",New York
The University of Vermont Health Network-Alice Hyde Medical Center,Malone,183,"1,687","5,617",New York
UHS Binghamton General Hospital,Binghamton,474,"15,405","81,619",New York
UHS Chenango Memorial Hospital,Norwich,138,"1,184","4,211",New York
UHS Wilson Medical Center,Johnson City,0,0,0,New York
United Memorial Medical Center,Batavia,133,"4,362","19,239",New York
Unity Hospital,Rochester,468,"17,663","99,573",New York
University Hospital of Brooklyn,Brooklyn,323,"10,599","68,972",New York
UPMC Chautauqua,Jamestown,199,"5,555","27,609",New York
Upstate University Hospital,Syracuse,735,"31,023","162,541",New York
Upstate University Hospital - Community Campus,Syracuse,306,"6,931","38,644",New York
UR Medicine Noyes Health,Dansville,67,"2,351","8,204",New York
VA Hudson Valley Health Care System - Montrose Campus,Montrose,0,0,0,New York
VA New York Harbor Healthcare System - Brooklyn Campus,Brooklyn,0,0,0,New York
VA New York Harbor Healthcare System - Manhattan Campus,New York,0,0,0,New York
Vassar Brothers Medical Center,Poughkeepsie,365,"21,637","98,675",New York
Westchester Medical Center,Valhalla,885,"23,283","195,543",New York
Westfield Memorial Hospital,Westfield,4,11,41,New York
White Plains Hospital,White Plains,292,"18,845","87,237",New York
Wyckoff Heights Medical Center,Brooklyn,257,"12,936","58,856",New York
Wyoming County Community Health System,Warsaw,200,"1,455","5,314",New York
Mercy Health - Anderson Hospital,Cincinnati,282,"12,950","53,227",Ohio
88th Medical Group - Wright-Patterson Air Force Base Medical Center,Wright-Patterson AirForce Base,0,0,0,Ohio
Adena Regional Medical Center,Chillicothe,189,"10,231","41,191",Ohio
Alliance Community Hospital,Alliance,145,"1,836","5,702",Ohio
Ashtabula County Medical Center,Ashtabula,137,"4,113","17,614",Ohio
Atrium Medical Center,Middletown,267,"7,653","31,738",Ohio
Aultman Hospital,Canton,512,"21,083","98,608",Ohio
Avita Ontario Hospital,Ontario,26,"1,432","4,032",Ohio
Beachwood Medical Center,Beachwood,0,0,0,Ohio
Berger Hospital,Circleville,83,"1,792","5,534",Ohio
Bethesda Butler Hospital,Hamilton,10,209,376,Ohio
Bethesda North Hospital,Cincinnati,365,"23,457","105,699",Ohio
Blanchard Valley Hospital,Findlay,150,"6,824","26,932",Ohio
Bryan Hospital,Bryan,75,"1,931","6,128",Ohio
Chillicothe VA Medical Center,Chillicothe,0,0,0,Ohio
Cincinnati VA Medical Center,Cincinnati,0,0,0,Ohio
Cleveland Clinic Akron General,Akron,436,"24,183","103,222",Ohio
Cleveland Clinic Avon Hospital,Avon,126,"6,483","23,511",Ohio
Cleveland Clinic Lutheran Hospital,Cleveland,201,"4,531","15,419",Ohio
Cleveland Clinic Medina Hospital,Medina,130,"6,290","26,119",Ohio
Cleveland Clinic Rehabilitation Hospital Edwin Shaw,Copley,0,0,0,Ohio
Cleveland Clinic Union Hospital,Dover,138,"4,033","15,377",Ohio
Cleveland VA Medical Center,Cleveland,0,0,0,Ohio
Clinton Memorial Hospital,Wilmington,75,"3,071","10,579",Ohio
Coshocton Regional Medical Center,Coshocton,56,"1,828","6,451",Ohio
Crystal Clinic Orthopaedic Center,Akron,59,"4,086","9,283",Ohio
Dayton VA Medical Center,Dayton,0,0,0,Ohio
Diley Ridge Medical Center,Canal Winchester,10,247,570,Ohio
East Liverpool City Hospital,East Liverpool,152,"5,780","17,567",Ohio
Euclid Hospital,Euclid,165,"5,236","17,743",Ohio
Fairfield Medical Center,Lancaster,213,"12,174","44,103",Ohio
Fairview Hospital,Cleveland,435,"24,474","114,092",Ohio
Firelands Regional Medical Center - South Campus,Sandusky,0,0,0,Ohio
Firelands Regional Medical Center Main Campus,Sandusky,217,"8,583","38,138",Ohio
Fisher-Titus Medical Center,Norwalk,147,"3,456","10,310",Ohio
Fort Hamilton Hospital,Hamilton,158,"6,355","27,259",Ohio
Genesis Hospital,Zanesville,282,"13,909","55,879",Ohio
Good Samaritan Hospital,Cincinnati,392,"19,306","102,100",Ohio
Grandview Medical Center,Dayton,304,"14,835","64,850",Ohio
Greene Memorial Hospital,Xenia,49,"2,289","9,198",Ohio
Grove City Methodist Hospital,Grove City,0,0,0,Ohio
Hillcrest Hospital,Mayfield Heights,385,"26,556","113,614",Ohio
Holzer Gallipolis Medical Center,Gallipolis,197,"3,940","15,603",Ohio
Institute for Orthopaedic Surgery,Lima,12,960,"1,824",Ohio
Joint Township District Memorial Hospital,Saint Marys,67,"1,732","5,670",Ohio
Kettering Medical Center,Kettering,410,"22,443","96,130",Ohio
King's Daughters Medical Center Ohio,Portsmouth,10,196,324,Ohio
Knox Community Hospital,Mount Vernon,65,"3,553","12,539",Ohio
Licking Memorial Hospital,Newark,227,"8,700","28,923",Ohio
Lima Memorial Hospital,Lima,172,"6,308","22,995",Ohio
Madison Health,London,45,"1,589","4,500",Ohio
Marietta Memorial Hospital,Marietta,205,"11,796","43,554",Ohio
Mary Rutan Hospital,Bellefontaine,39,"1,389","4,266",Ohio
Marymount Hospital,Garfield Heights,288,"6,634","30,266",Ohio
McCullough-Hyde Memorial Hospital (Oxford Campus),Oxford,45,"2,094","6,985",Ohio
Memorial Hospital,Marysville,60,"1,967","6,378",Ohio
Mercer County Community Hospital,Coldwater,42,"2,266","6,281",Ohio
Mercy Health - Clermont Hospital,Batavia,147,"7,250","28,064",Ohio
Mercy Health - Defiance Hospital,Defiance,23,"1,109","2,974",Ohio
Mercy Health - Saint Anne Hospital,Toledo,123,"5,959","21,122",Ohio
Mercy Health - Saint Charles Hospital,Oregon,235,"6,662","22,584",Ohio
Mercy Health - Saint Elizabeth Youngstown Hospital,Youngstown,364,"16,804","76,657",Ohio
Mercy Health - Saint Joseph Warren Hospital,Warren,127,"9,617","34,331",Ohio
Mercy Health - Saint Rita's Medical Center,Lima,347,"17,155","70,602",Ohio
Mercy Health - Springfield Regional Medical Center,Springfield,254,"14,070","53,673",Ohio
Mercy Health - West Hospital,Cincinnati,221,"12,948","53,692",Ohio
Mercy Health- Children's Hospital,Toledo,0,0,0,Ohio
Mercy Health- Fairfield Hospital,Fairfield,214,"12,981","52,665",Ohio
Mercy Health- Saint Vincent Medical Center,Toledo,313,"18,555","74,183",Ohio
Mercy Health-Lorain Hospital,Lorain,226,"9,870","33,821",Ohio
Mercy Health-Perrysburg Hospital,Perrysburg,0,0,0,Ohio
Mercy Health-Saint Elizabeth Boardman Hospital,Boardman,206,"13,694","54,576",Ohio
Mercy Health-Tiffin Hospital,Tiffin,45,"2,348","6,628",Ohio
Mercy Medical Center,Canton,338,"15,665","68,900",Ohio
MetroHealth Medical Center,Cleveland,619,"20,738","115,294",Ohio
Miami Valley Hospital,Dayton,825,"34,557","169,191",Ohio
Miami Valley Hospital North,Englewood,0,0,0,Ohio
Miami Valley Hospital South,Centerville,0,0,0,Ohio
Mount Carmel East,Columbus,0,0,0,Ohio
Mount Carmel Grove City,Grove City,0,0,0,Ohio
Mount Carmel New Albany,New Albany,60,"3,679","5,851",Ohio
Mount Carmel Saint Ann's,Westerville,284,"17,344","70,640",Ohio
Ohio State University Comprehensive Cancer Center - Arthur G. James Cancer Hospital,Columbus,344,"15,193","105,989",Ohio
Ohio State University Hospital East,Columbus,174,"10,295","50,659",Ohio
Ohio State University Wexner Medical Center,Columbus,"1,133","49,765","286,599",Ohio
Ohio Valley Surgical Hospital,Springfield,24,608,"1,386",Ohio
OhioHealth Doctors Hospital,Columbus,172,"8,388","36,641",Ohio
OhioHealth Dublin Methodist Hospital,Dublin,102,"6,471","21,155",Ohio
OhioHealth Grady Memorial Hospital,Delaware,64,"1,876","6,097",Ohio
OhioHealth Grant Medical Center,Columbus,434,"19,091","101,742",Ohio
OhioHealth Mansfield Hospital,Mansfield,237,"10,588","51,862",Ohio
OhioHealth Marion General Hospital,Marion,198,"6,479","24,828",Ohio
OhioHealth O'Bleness Memorial Hospital,Athens,64,"2,098","4,168",Ohio
OhioHealth Riverside Methodist Hospital,Columbus,734,"41,759","205,179",Ohio
Pomerene Hospital,Millersburg,41,"1,521","4,521",Ohio
ProMedica Bay Park Hospital,Oregon,77,"3,187","11,833",Ohio
ProMedica Flower Hospital,Sylvania,267,"6,464","27,284",Ohio
ProMedica Memorial Hospital,Fremont,102,"1,095","3,337",Ohio
ProMedica Toledo Hospital,Toledo,859,"29,429","156,455",Ohio
Saint Luke's Hospital,Maumee,166,"9,785","39,977",Ohio
Saint Vincent Charity Medical Center,Cleveland,197,"5,937","21,827",Ohio
Salem Regional Medical Center,Salem,102,"3,461","14,569",Ohio
Soin Medical Center,Beavercreek,129,"7,317","28,039",Ohio
South Pointe Hospital,Warrensville Heights,131,"6,583","30,555",Ohio
Southeastern Med,Cambridge,90,"3,195","11,393",Ohio
Southern Ohio Medical Center,Portsmouth,213,"10,857","44,078",Ohio
Southview Medical Center,Centerville,0,0,0,Ohio
Southwest General Health Center,Middleburg Heights,248,"14,506","51,367",Ohio
Summa Health System - Akron Campus,Akron,653,"26,395","127,079",Ohio
Summa Health System-Barberton Campus,Barberton,178,"8,020","37,016",Ohio
Summa Health System-St. Thomas Campus,Akron,0,0,0,Ohio
Sycamore Medical Center,Miamisburg,168,"9,194","35,550",Ohio
The Bellevue Hospital,Bellevue,50,"1,427","4,911",Ohio
The Christ Hospital,Cincinnati,538,"22,185","99,702",Ohio
The Cleveland Clinic,Cleveland,"1,285","51,373","371,194",Ohio
The Jewish Hospital - Mercy Health,Cincinnati,186,"12,170","49,718",Ohio
The Surgical Hospital at Southwoods,Boardman,24,"1,083","2,285",Ohio
The University of Toledo Medical Center,Toledo,246,"10,533","44,438",Ohio
The Woods at Parkside,Gahanna,50,"1,519","3,340",Ohio
Three Gables Surgery Center,Proctorville,8,74,75,Ohio
TriHealth Evendale Hospital,Evandale,29,650,737,Ohio
Trinity East,Steubenville,261,"7,479","31,194",Ohio
Trinity West,Steubenville,0,0,0,Ohio
TriPoint Medical Center,Concord,344,"14,972","60,147",Ohio
Troy Hospital,Troy,0,0,0,Ohio
Trumbull Regional Medical Center,Warren,219,"7,946","37,529",Ohio
UH Ahuja Medical Center,Beachwood,137,"8,709","34,069",Ohio
UH Bedford Medical Center,Bedford,77,"3,489","15,740",Ohio
UH Cleveland Medical Center,Cleveland,691,"30,066","168,273",Ohio
UH Elyria Medical Center,Elyria,206,"9,793","40,654",Ohio
UH Geauga Medical Center,Chardon,142,"7,102","26,572",Ohio
UH Parma Medical Center,Parma,273,"9,006","35,194",Ohio
UH Portage Medical Center,Ravenna,191,"6,915","28,626",Ohio
UH Richmond Medical Center,Richmond Heights,101,"4,533","17,012",Ohio
UH Saint John Medical Center,Westlake,170,"9,356","31,640",Ohio
UH Samaritan Medical Center,Ashland,39,"2,448","8,132",Ohio
University of Cincinnati Medical Center,Cincinnati,555,"24,131","151,997",Ohio
Upper Valley Medical Center,Troy,151,"5,267","19,261",Ohio
Van Wert County Hospital,Van Wert,61,"1,023","2,893",Ohio
Wayne Hospital,Greenville,52,"1,834","4,495",Ohio
West Chester Medical Center,West Chester,153,"9,128","36,758",Ohio
West Medical Center,Willoughby,0,0,0,Ohio
Western Reserve Hospital,Cuyahoga Falls,83,"3,636","13,050",Ohio
Wilson Health,Sidney,71,"2,404","7,595",Ohio
Wood County Hospital,Bowling Green,103,"2,608","8,035",Ohio
Wooster Community Hospital,Wooster,136,"5,977","18,863",Ohio
INTEGRIS Miami Hospital,Miami,114,"1,754","5,554",Oklahoma
AllianceHealth Clinton,Clinton,56,888,"2,631",Oklahoma
AllianceHealth Durant,Durant,140,"5,012","18,415",Oklahoma
AllianceHealth Midwest,Midwest City,255,"6,612","31,089",Oklahoma
AllianceHealth Ponca City,Ponca City,48,"2,306","8,484",Oklahoma
